State,Site_Name,Category,Year_Built,Visitors_Per_Year,Popularity,Best_Month_To_Visit,UNESCO_World_Heritage,District,Nearest_City,Latitude,Longitude,Entry_Fee_INR,Description,Festival,Famous_Art,Art_Description
Madhya Pradesh,Gwalior Fort,Fort,967,1317852,High,November to January,Yes,Gwalior,Gwalior,26.215,78.193,23,A cultural landmark with centuries-old heritage.,Khajuraho Dance Festival,Gond Art,Folk art using dots and lines to create vibrant nature-inspired visuals.
Madhya Pradesh,Gwalior Fort,Temple,974,1649108,High,June to August,Yes,Gwalior,Gwalior,26.215,78.193,377,A historic site known for its architectural beauty.,Khajuraho Dance Festival,Gond Art,Folk art using dots and lines to create vibrant nature-inspired visuals.
West Bengal,Victoria Memorial,Museum,800,813452,Medium,March to May,Yes,Kolkata,Kolkata,22.5448,88.3426,223,A popular tourist destination and UNESCO site.,Durga Puja,Kalighat Painting,"Bold, expressive paintings originated in 19th-century Kolkata."
Madhya Pradesh,Gwalior Fort,Temple,931,1191191,High,April to June,Yes,Gwalior,Gwalior,26.215,78.193,202,A cultural landmark with centuries-old heritage.,Khajuraho Dance Festival,Gond Art,Folk art using dots and lines to create vibrant nature-inspired visuals.
Odisha,Konark Sun Temple,Temple,1114,1524089,High,September to November,Yes,Bhubaneswar,Bhubaneswar,19.8876,86.0945,153,A popular tourist destination and UNESCO site.,Rath Yatra,Pattachitra,Traditional scroll painting on cloth depicting Hindu mythology.
Karnataka,Mysore Palace,Monument,1100,1588427,High,October to December,Yes,Mysuru,Mysuru,12.3052,76.6552,435,A cultural landmark with centuries-old heritage.,Dasara,Mysore Painting,Classical South Indian painting known for elegance and attention to detail.
Rajasthan,Amber Fort,Fort,1844,1243824,High,September to November,No,Jaipur,Jaipur,26.9855,75.85,211,An ancient structure that reflects traditional craftsmanship.,Pushkar Camel Fair,Pichwai Painting,"Intricate paintings depicting tales of Lord Krishna, usually on cloth."
West Bengal,Victoria Memorial,Museum,800,813452,Medium,March to May,Yes,Kolkata,Kolkata,22.5448,88.3426,223,A popular tourist destination and UNESCO site.,Durga Puja,Kalighat Painting,"Bold, expressive paintings originated in 19th-century Kolkata."
Uttar Pradesh,Taj Mahal,Temple,1038,1679692,High,July to September,No,Agra,Agra,27.1751,78.0421,158,A cultural landmark with centuries-old heritage.,Diwali,Chikankari Embroidery,Delicate hand embroidery from Lucknow on fine fabrics.
Tamil Nadu,Brihadeeswarar Temple,Monument,1468,529174,Medium,November to January,Yes,Chennai,Chennai,10.7828,79.1316,30,Famous for its intricate carvings and historical relevance.,Pongal,Tanjore Painting,"Richly colored paintings with gold foil, known for religious themes."
Odisha,Konark Sun Temple,Temple,682,374362,Medium,November to January,No,Bhubaneswar,Bhubaneswar,19.8876,86.0945,439,A popular tourist destination and UNESCO site.,Rath Yatra,Pattachitra,Traditional scroll painting on cloth depicting Hindu mythology.
West Bengal,Victoria Memorial,Fort,1705,1008757,High,September to November,No,Kolkata,Kolkata,22.5448,88.3426,204,An ancient structure that reflects traditional craftsmanship.,Durga Puja,Kalighat Painting,"Bold, expressive paintings originated in 19th-century Kolkata."
Uttar Pradesh,Taj Mahal,Fort,1668,1367066,High,March to May,No,Agra,Agra,27.1751,78.0421,476,A cultural landmark with centuries-old heritage.,Diwali,Chikankari Embroidery,Delicate hand embroidery from Lucknow on fine fabrics.
Madhya Pradesh,Gwalior Fort,Monument,1833,69881,Low,June to August,Yes,Gwalior,Gwalior,26.215,78.193,169,A cultural landmark with centuries-old heritage.,Khajuraho Dance Festival,Gond Art,Folk art using dots and lines to create vibrant nature-inspired visuals.
Odisha,Konark Sun Temple,Fort,604,517837,Medium,January to March,Yes,Bhubaneswar,Bhubaneswar,19.8876,86.0945,352,A popular tourist destination and UNESCO site.,Rath Yatra,Pattachitra,Traditional scroll painting on cloth depicting Hindu mythology.
